"mfilter_url_alias_id","path","mfp","alias","language_id","store_id","meta_title","meta_description","meta_keyword","description","h1"
"343","legkovye-shiny","12-[255],13-[45],14-[20]","tyre-size-255-45-r20-vse-shiny-filtering","1","0","Легковые шины  255/45 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  255/45 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  255/45 R20"
"344","legkovye-shiny","12-[315],13-[35],14-[21]","tyre-size-315-35-r21-vse-shiny-filtering","1","0","Легковые шины  315/35 R21 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  315/35 R21 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  315/35 R21"
"345","legkovye-shiny","12-[285],13-[40],14-[21]","tyre-size-285-40-r21-vse-shiny-filtering","1","0","Легковые шины  285/40 R21 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  285/40 R21 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  285/40 R21"
"346","legkovye-shiny","12-[275],13-[50],14-[20]","tyre-size-275-50-r20-vse-shiny-filtering","1","0","Легковые шины  275/50 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/50 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/50 R20"
"347","legkovye-shiny","12-[275],13-[50],14-[22]","tyre-size-275-50-r22-vse-shiny-filtering","1","0","Легковые шины  275/50 R22 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/50 R22 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/50 R22"
"348","legkovye-shiny","12-[285],13-[45],14-[20]","tyre-size-285-45-r20-vse-shiny-filtering","1","0","Легковые шины  285/45 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  285/45 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  285/45 R20"
"349","legkovye-shiny","12-[245],13-[50],14-[20]","tyre-size-245-50-r20-vse-shiny-filtering","1","0","Легковые шины  245/50 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  245/50 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  245/50 R20"
"350","legkovye-shiny","12-[305],13-[40],14-[20]","tyre-size-305-40-r20-vse-shiny-filtering","1","0","Легковые шины  305/40 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  305/40 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  305/40 R20"
"351","legkovye-shiny","12-[315],13-[35],14-[20]","tyre-size-315-35-r20-vse-shiny-filtering","1","0","Легковые шины  315/35 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  315/35 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  315/35 R20"
"352","legkovye-shiny","12-[215],13-[55],14-[18]","tyre-size-215-55-r18-vse-shiny-filtering","1","0","Легковые шины  215/55 R18 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  215/55 R18 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  215/55 R18"
